source,avg_score
4-koma manga,7.463999112496897
Book,7.339872149042031
Card game,6.874629466895309
Digital manga,6.286162937030009
Game,7.0350680953706926
Light novel,7.5476944013984655
Manga,7.644926472263997
Music,7.3084495014743185
Novel,7.798500644457453
Original,7.524421412116416
Other,6.990557157227344
Picture book,6.947453134982346
Radio,6.307572355795087
Unknown,6.7880745587859685
Visual novel,7.197369146645407
Web manga,7.693994017141883
