title,female_count,male_count,popularity,female_percentage,male_percentage
25-sai no Joshikousei,730,787,2994,48.12,51.88
2x1,42,242,7140,14.79,85.21
3-gatsu no Lion,3981,11155,391,26.3,73.7
3-gatsu no Lion meets Bump of Chicken,347,767,4473,31.15,68.85
3-tsu no Kumo,100,157,8026,38.91,61.09
300 En no Otsukiai Anime Edition,33,300,6000,9.91,90.09
3D Onara Gorou ga Dance Dance Dance!!,49,201,7841,19.6,80.4
44-hiki no Neko,130,182,8092,41.67,58.33
91 Days,5075,12253,270,29.29,70.71
91 Days Special,652,1420,2739,31.47,68.53
A-Channel+smile,649,2146,2937,23.22,76.78
A-Channel: +A-Channel,682,2003,3087,25.4,74.6
A-Ko The Versus,132,449,5911,22.72,77.28
AIKa: Special Trial,148,860,4924,14.68,85.32
AKB0048,2037,4078,1656,33.31,66.69
Aa! Megami-sama! (TV),4748,12666,769,27.27,72.73
Aa! Megami-sama! Movie,1727,4387,2007,28.25,71.75
Ace wo Nerae!: Final Stage,75,107,8351,41.21,58.79
Action Heroine Cheer Fruits,214,787,3941,21.38,78.62
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,310,1192,3131,20.64,79.36
Adachi-ga Hara,45,117,8842,27.78,72.22
Afro Samurai: Resurrection,1071,7572,1325,12.39,87.61
Afro-Ken,313,339,6437,48.01,51.99
Agukaru,99,176,8115,36.0,64.0
Ai,251,416,6382,37.63,62.37
Ai City,95,361,5945,20.83,79.17
Ai Monogatari: 9 Love Stories,227,310,6349,42.27,57.73
Ai Shimai 2: Futari no Kajitsu,205,1020,4480,16.73,83.27
Ai Tenchi Muyou! Recaps,72,459,5805,13.56,86.44
Ai Yori Aoshi,3244,9445,1064,25.57,74.43
Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,162,591,5101,21.51,78.49
Ai no Kusabi,3466,563,2366,86.03,13.97
Ai to Yuuki no Pig Girl Tonde Buurin,837,684,4237,55.03,44.97
Ai wa Kagi no Kazu dake... Fuuzoku Mansion,52,474,6182,9.89,90.11
Aikatsu Friends!,147,251,5870,36.93,63.07
Aikatsu Stars!,410,499,3866,45.1,54.9
Aikatsu Stars! Movie,141,182,6548,43.65,56.35
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,83,128,7479,39.34,60.66
Air,11032,20816,340,34.64,65.36
Air Gear,7437,19794,297,27.31,72.69
Ajin OVA,902,1861,2216,32.65,67.35
Akahori Gedou Hour Rabuge,261,618,5378,29.69,70.31
Akai Ito,222,231,6952,49.01,50.99
Akai Kiba: Blue Sonnet,67,205,7736,24.63,75.37
"Akai Shouzou: Char, Soshite Frontal e",40,159,8265,20.1,79.9
Akame ga Kill!,8181,31008,25,20.88,79.12
Akebi no Hana: Maho,27,346,6268,7.24,92.76
Aki-Sora,1962,8358,1184,19.01,80.99
Akiba-chan,147,239,7342,38.08,61.92
Akihabara Dennou-gumi,371,555,5004,40.06,59.94
Akikan!: Kan Ippatsu!? Onsen Panic,623,3198,2667,16.3,83.7
Aku no Hana,4482,8875,766,33.56,66.44
Akuemon,30,100,8971,23.08,76.92
Akuma no Riddle,4063,10934,480,27.09,72.91
Aldnoah.Zero,4948,18955,181,20.7,79.3
Aldnoah.Zero 2nd Season,2796,12501,379,18.28,81.72
Alice or Alice: Siscon Niisan to Futago no Imouto,222,1450,2870,13.28,86.72
All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,98,110,7681,47.12,52.88
Alps no Shoujo Heidi Pilot,38,60,9232,38.78,61.22
Amada Anime Series: Super Mario Brothers,93,328,6955,22.09,77.91
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,208,2053,3572,9.2,90.8
Amaenaide yo!!: Yasumanaide yo!!,227,2235,3449,9.22,90.78
Amagami SS OVA,709,5068,1863,12.27,87.73
Amakano,61,537,4733,10.2,89.8
Amanatsu,137,134,7255,50.55,49.45
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,35,519,5053,6.32,93.68
Amatsuki,4146,4642,1611,47.18,52.82
Ame-iro Cocoa Series: Ame-con!!,198,179,6323,52.52,47.48
Amefuri Kozou,48,124,8609,27.91,72.09
Amnesia OVA,1605,620,2627,72.13,27.87
Amon Saga,187,521,5708,26.41,73.59
Anata wa Watashi no Mono,24,273,5930,8.08,91.92
Andersen Douwa: Ningyohime,429,257,5854,62.54,37.46
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,161,1485,3688,9.78,90.22
Ane Koi: Suki Kirai Daisuki.,69,713,4667,8.82,91.18
Ane☆Haramix,207,1435,3796,12.61,87.39
Ange Vierge,493,2504,2040,16.45,83.55
Angel Beats! Specials,5362,16076,468,25.01,74.99
Angel Blade,214,1060,4256,16.8,83.2
Angel Heart,612,1481,3477,29.24,70.76
Angel&#039;s Feather,2887,540,2980,84.24,15.76
Angelique: Seichi yori Ai wo Komete,284,143,6662,66.51,33.49
Ani*Kuri15,1146,2131,3028,34.97,65.03
Anime Tenchou x Touhou Project,562,1303,3598,30.13,69.87
Ankoku Cat,225,269,6886,45.55,54.45
Ankoku Shindenshou Takegami,54,196,7899,21.6,78.4
Anne no Nikki,419,508,5207,45.2,54.8
Ano Ko to Ii Koto,33,471,5016,6.55,93.45
Another: Misaki Mei - Shizukani,657,1420,3092,31.63,68.37
Another: The Other - Inga,4801,9500,780,33.57,66.43
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,345,837,2597,29.19,70.81
Ansatsu Kyoushitsu: 365-nichi no Jikan,770,1520,2208,33.62,66.38
Antique Heart,68,107,8711,38.86,61.14
Ao Oni The Animation (Movie),245,364,5165,40.23,59.77
Ao no Exorcist Movie,5258,8553,570,38.07,61.93
Ao no Exorcist: Kyoto Fujouou-hen,4815,11764,259,29.04,70.96
Aoharu x Kikanjuu,4602,6485,619,41.51,58.49
Aoi Bungaku Series,6457,11046,724,36.89,63.11
Aoi Umi no Tristia,197,507,6326,27.98,72.02
Aoki Densetsu Shoot!,427,1028,3912,29.35,70.65
Aoki Densetsu Shoot! (Movie),86,236,7415,26.71,73.29
Aoki Hagane no Arpeggio: Ars Nova,1715,9544,821,15.23,84.77
Appleseed (Movie),2146,7570,1425,22.09,77.91
Appleseed Saga Ex Machina,1015,4742,2065,17.63,82.37
Aquarian Age: Saga II - Don&#039;t Forget Me...,184,375,6261,32.92,67.08
Aquarian Age: Sign for Evolution,797,1249,3637,38.95,61.05
Arakawa Under the Bridge,8472,18764,356,31.11,68.89
"Arano no Sakebi Koe: Hoero, Buck",76,85,8661,47.2,52.8
Arashi no Yoru ni,1156,1105,3191,51.13,48.87
Arcana Famiglia: Capriccio - stile Arcana Famiglia,1138,1085,3020,51.19,48.81
Area 88,233,1311,3812,15.09,84.91
Area 88 (TV),316,1281,3823,19.79,80.21
Area no Kishi,1738,4570,1608,27.55,72.45
Argento Soma,874,2052,2950,29.87,70.13
Aria The Animation,4064,11511,896,26.09,73.91
Ariel Visual,43,145,8501,22.87,77.13
Ark IX,439,831,4412,34.57,65.43
Armitage III: Dual-Matrix,454,1842,3321,19.77,80.23
Arrow Emblem Grand Prix no Taka,53,160,8164,24.88,75.12
Arslan Senki (TV),4364,12697,352,25.58,74.42
Arslan Senki (TV) OVA,557,1145,3244,32.73,67.27
Arslan Senki (TV): Dakkan no Yaiba,435,886,3824,32.93,67.07
Arslan Senki (TV): Fuujin Ranbu,1741,5520,1022,23.98,76.02
Aru Hi Inu no Kuni kara Tegami ga Kite,142,201,6993,41.4,58.6
Aru Tabibito no Nikki Specials,605,930,4546,39.41,60.59
Aruhi no Clamp Gakuen Tanteidan,116,80,8614,59.18,40.82
Arve Rezzle: Kikaijikake no Yousei-tachi,1540,2803,2595,35.46,64.54
Asgaldh: The Distortion Testament,48,330,7032,12.7,87.3
Ashita no Joe Pilots,56,244,7174,18.67,81.33
Asobou! Hello Kitty,144,56,8745,72.0,28.0
Astro Boy: Tetsuwan Atom,518,1383,3401,27.25,72.75
Atashin&#039;chi,136,166,6853,45.03,54.97
Atelier Petros Joukuu Gekijou: Sentaku Shima no Sentaku Tori,33,72,9897,31.43,68.57
Avenger,940,1811,3221,34.17,65.83
Avengers Confidential: Black Widow to Punisher,77,367,6181,17.34,82.66
Ayakashi: Japanese Classic Horror,3618,4213,1714,46.2,53.8
Ayane-chan High Kick!,132,506,5957,20.69,79.31
Azure Nihon Data Center,28,116,9016,19.44,80.56
"Azusa, Otetsudai Shimasu!",172,435,6554,28.34,71.66
B-Legend! Battle B-Daman,411,976,3996,29.63,70.37
B-Legend! Battle B-Daman Fire Spirits!,157,403,5880,28.04,71.96
B.B. Fish,83,182,8144,31.32,68.68
BAR Kiraware Yasai,133,220,6799,37.68,62.32
BOY&#039;s LOVE Nitro+CHiRAL,206,54,7280,79.23,20.77
BaBuKa: Gokudou no Tsuma,30,336,6462,8.2,91.8
Bab Mook Ja,27,47,9697,36.49,63.51
Babel Nisei (OVA),66,234,7441,22.0,78.0
Baby Steps,1774,6327,1007,21.9,78.1
Bacterial Contamination,214,311,6381,40.76,59.24
Bad End,41,264,7168,13.44,86.56
Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan♡,30,378,5310,7.35,92.65
Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,77,820,3908,8.58,91.42
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,202,910,3196,18.17,81.83
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,108,466,4329,18.82,81.18
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,651,2424,2378,21.17,78.83
Bakemono no Ko,3932,9362,482,29.58,70.42
Bakugan Battle Brawlers: New Vestroia,695,1644,2451,29.71,70.29
Bakuman. 3rd Season,4174,12782,426,24.62,75.38
Bakuten Shoot Beyblade 2002,1471,3889,1906,27.44,72.56
Bakutou Sengen Daigunder,64,214,7430,23.02,76.98
Barakamon,7957,18177,176,30.45,69.55
Barakamon: Mijikamon,1175,1743,2483,40.27,59.73
Barbapapa,187,200,7267,48.32,51.68
Bari Bari Densetsu (1987),24,147,8385,14.04,85.96
Basquash!,1386,5046,1943,21.55,78.45
Battery,1612,2558,1879,38.66,61.34
Battle Girl High School,299,1255,3047,19.24,80.76
Battle Spirits: Shounen Gekiha Dan,72,160,7325,31.03,68.97
Bayonetta: Bloody Fate,835,2922,2192,22.23,77.77
Be-Bop Highschool,62,216,6795,22.3,77.7
Beast Wars Second Chou Seimeitai Transformers,59,270,7351,17.93,82.07
Beatless,906,4750,1019,16.02,83.98
Beelzebub: Hirotta Akachan wa Daimaou!?,1659,3450,2303,32.47,67.53
Berserk 2nd Season,795,5067,1159,13.56,86.44
Berserk Recap,124,598,4581,17.17,82.83
Berserk: Majo no Tsuisou,153,857,4203,15.15,84.85
Berserk: Ougon Jidai-hen I - Haou no Tamago,1927,9594,796,16.73,83.27
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,1540,8058,888,16.05,83.95
Beyblade Burst,127,449,4491,22.05,77.95
Bible Black Gaiden,669,2553,2853,20.76,79.24
Bible Black: Imari Ryoujoku Genba,310,1317,3849,19.05,80.95
Bible Black: New Testament,600,2415,2891,19.9,80.1
Bihada Ichizoku,541,204,5847,72.62,27.38
Bikini Warriors,537,4644,1588,10.36,89.64
Bikini Warriors Special,133,1123,3864,10.59,89.41
Bikyaku Seido Kaichou Ai,21,333,6075,5.93,94.07
Binan Koukou Chikyuu Boueibu Happy Kiss!,458,184,4818,71.34,28.66
Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!,408,135,5269,75.14,24.86
Binbou Shimai Monogatari,913,2008,3119,31.26,68.74
Binbougami ga!,3972,13509,537,22.72,77.28
Binetsu Shoukougun,25,156,8267,13.81,86.19
Binkan Athlete,56,636,5091,8.09,91.91
Binzume Yousei,1472,1569,3175,48.41,51.59
Biohazard: Damnation,472,2101,3102,18.34,81.66
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,3244,1498,2197,68.41,31.59
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,377,297,4749,55.93,44.07
Bishoujo Yuugekitai Battle Skipper,60,186,8108,24.39,75.61
Black Blood Brothers,4914,7019,1059,41.18,58.82
Black Cat,8536,14564,430,36.95,63.05
Black Clover,3103,9570,319,24.49,75.51
Black Clover: Jump Festa 2016 Special,470,1213,2870,27.93,72.07
Black Jack 21,358,768,4076,31.79,68.21
Black Jack: Sora kara Kita Kodomo,135,267,6814,33.58,66.42
Black Lagoon,9077,32915,98,21.62,78.38
Blade Runner: Black Out 2022,297,1468,3189,16.83,83.17
Blame! Movie,959,4097,1485,18.97,81.03
Blame! Prologue,341,965,4320,26.11,73.89
Blame! Special,306,899,4633,25.39,74.61
BlazBlue: Alter Memory Specials,35,141,6965,19.89,80.11
Bleach,20197,43401,18,31.76,68.24
Blind Night,35,223,7429,13.57,86.43
Blood Royale,166,589,5492,21.99,78.01
Blood-C,5842,11254,491,34.17,65.83
Bloods: Inraku no Ketsuzoku 2,131,1177,3766,10.02,89.98
Blossom,323,495,5653,39.49,60.51
Blue Dragon: Tenkai no Shichi Ryuu,226,852,3804,20.96,79.04
Bobby ni Kubittake,106,299,6863,26.17,73.83
Bobobo-bo Bo-bobo,1447,3925,1516,26.94,73.06
Boku dake ga Inai Machi Recap,227,612,3916,27.06,72.94
Boku no Chikyuu wo Mamotte: Kiniro no Toki Nasarete,80,71,8687,52.98,47.02
Boku no Hero Academia: Sukue! Kyuujo Kunren!,1236,3378,1468,26.79,73.21
Boku no Hero Academia: Training of the Dead,1233,3594,1383,25.54,74.46
Boku no Pico,4604,3750,1057,55.11,44.89
Boku no Yayoi-san 2,15,179,7170,7.73,92.27
Boku wa Kuma,156,178,8069,46.71,53.29
Boku wa Robot-goshi no Kimi ni Koi wo Suru,72,152,7036,32.14,67.86
Boku wa Tomodachi ga Sukunai,7119,30279,101,19.04,80.96
Boku wa Tomodachi ga Sukunai Next,3332,21508,225,13.41,86.59
Bokura ga Ita,11080,9486,528,53.88,46.12
Bomberman B-Daman Bakugaiden,108,203,7092,34.73,65.27
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi,53,234,7113,18.47,81.53
Bonjour♪Koiaji Pâtisserie,2490,733,2052,77.26,22.74
Born by Myself,108,196,7739,35.53,64.47
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,921,2768,1701,24.97,75.03
Bosco Daibouken,75,113,8537,39.89,60.11
Bounty Hunter: The Hard,21,108,9217,16.28,83.72
Brain Powerd,300,905,4485,24.9,75.1
Brandish,160,1162,3764,12.1,87.9
Brave Beats,129,269,6037,32.41,67.59
Brave Witches,477,2914,1951,14.07,85.93
Break Blade 2: Ketsubetsu no Michi,1460,6784,1528,17.71,82.29
Break Blade 4: Sanka no Chi,1219,6201,1605,16.43,83.57
Brigadoon: Marin to Melan,333,951,4116,25.93,74.07
Bronze: Kouji Nanjo Cathexis,633,101,5622,86.24,13.76
Bronze: Zetsuai Since 1989,1408,182,4083,88.55,11.45
Brothers Conflict,6598,2294,894,74.2,25.8
Btooom!,8005,27014,94,22.86,77.14
Bubblegum Crisis,713,2685,2491,20.98,79.02
Bubblegum Crisis Tokyo 2040,930,2878,2431,24.42,75.58
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,480,2013,2839,19.25,80.75
Bulg-eunmae,30,137,8889,17.96,82.04
Bus Gamer,2225,2703,2511,45.15,54.85
Bust to Bust: Chichi wa Chichi ni,75,727,4719,9.35,90.65
Buta,527,928,4311,36.22,63.78
Buta Himesama,44,362,5928,10.84,89.16
Butlers: Chitose Momotose Monogatari,832,418,3265,66.56,33.44
Buzzer Beater,457,1349,3677,25.3,74.7
Buzzer Beater 2nd Season,233,827,4529,21.98,78.02
Byousoku 5 Centimeter,15126,31648,96,32.34,67.66
CLAMP in Wonderland,2294,1438,3234,61.47,38.53
Campus,86,373,6687,18.74,81.26
Candy Boy Episode: EX01 - Mirai Yohouzu,1245,2886,2726,30.14,69.86
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,1122,2579,2849,30.32,69.68
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,3264,6070,1511,34.97,65.03
Canvas: Sepia-iro no Motif,305,1146,4532,21.02,78.98
Cardcaptor Sakura Movie 1,5369,4365,1205,55.16,44.84
Cardcaptor Sakura: Clear Card-hen,2545,3145,1380,44.73,55.27
Cardfight!! Vanguard: Link Joker-hen,328,943,3427,25.81,74.19
Carnival Phantasm EX Season,702,4034,2160,14.82,85.18
Carnival Phantasm: HibiChika Special,446,2685,2708,14.24,85.76
Castle Fantasia: Seima Taisen,47,198,7489,19.18,80.82
Catman Series III,61,164,8362,27.11,72.89
Cello Hiki no Gauche (1982),691,956,3913,41.96,58.04
Cencoroll,3747,7331,1248,33.82,66.18
Chain Chronicle: Short Animation,250,660,4291,27.47,72.53
Chainsaw Maid,206,476,5803,30.21,69.79
Change Our Mirai!,60,229,7648,20.76,79.24
Charlotte,6829,23417,72,22.58,77.42
Cheating Craft,961,2541,1808,27.44,72.56
Chi&#039;s Sweet Home,4155,3516,1688,54.17,45.83
Chibi Maruko-chan,462,467,4466,49.73,50.27
Chibi Maruko-chan Movie,115,128,7922,47.33,52.67
Chibi Maruko-chan: Watashi no Suki na Uta,42,65,8925,39.25,60.75
"Chiisana Obake Acchi, Kocchi, Socchi",139,167,7653,45.42,54.58
Chikan Densha,85,447,6205,15.98,84.02
Chikan Monogatari,77,564,5592,12.01,87.99
Chikyuu Bouei Kazoku,37,180,8278,17.05,82.95
Chime,463,657,5551,41.34,58.66
Chinetsu Karte: The Devilish Cherry,47,451,5678,9.44,90.56
Chivas 1-2-3,138,444,6525,23.71,76.29
Chocotan!,345,322,5525,51.72,48.28
Chou Kidou Densetsu DinaGiga,35,129,8813,21.34,78.66
Chou Kousoku Gran Doll,59,199,8085,22.87,77.13
Chou Mashin Eiyuuden Wataru,34,91,8660,27.2,72.8
Choujikuu Kidan Southern Cross,118,784,5019,13.08,86.92
Choujikuu Seiki Orguss 02,42,344,6828,10.88,89.12
Choujin Densetsu Urotsukidouji,181,834,4415,17.83,82.17
Choujin Densetsu Urotsukidouji 2,53,367,6571,12.62,87.38
Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,28,239,7614,10.49,89.51
Choujin Densetsu Urotsukidouji: Inferno Road,30,257,7359,10.45,89.55
Choujin Gakuen Gowcaizer: The Voltage Fighters,49,386,6774,11.26,88.74
Choujuu Kishin Dancougar: God Bless Dancougar,20,151,8509,11.7,88.3
Choushin Hime Dangaizer 3,32,222,7960,12.6,87.4
Chouyaku Hyakuninisshu: Uta Koi.,2085,1500,2744,58.16,41.84
Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,144,99,7723,59.26,40.74
Chrno Crusade,8758,16637,485,34.49,65.51
Chrome Shelled Regios,2995,12624,636,19.18,80.82
Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,41,606,4840,6.34,93.66
Chu-Bra!!,1468,5689,1858,20.51,79.49
Chu^2,23,170,8240,11.92,88.08
Chuunen Punk,28,73,9981,27.72,72.28
Chuunibyou demo Koi ga Shitai!,9521,32158,63,22.84,77.16
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,728,4014,1531,15.35,84.65
Chuuzumou,111,145,7721,43.36,56.64
Cinderella Monogatari,650,250,5128,72.22,27.78
Circuit Angel: Ketsui no Starting Grid,24,111,9210,17.78,82.22
City Hunter &#039;91,239,1012,3929,19.1,80.9
Cleopatra D.C.,73,243,7393,23.1,76.9
Cluster Edge,887,782,4074,53.15,46.85
Cobalt World,49,212,7571,18.77,81.23
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,209,645,3604,24.47,75.53
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama,115,347,4657,24.89,75.11
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,100,288,5118,25.77,74.23
Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e Picture Drama,110,297,5367,27.03,72.97
Code Geass: Hangyaku no Lelouch,20993,50060,9,29.55,70.45
Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama Flash Special,188,540,4419,25.82,74.18
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,73,203,6987,26.45,73.55
Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium,136,353,5171,27.81,72.19
Code Geass: Soubou no Oz Picture Drama,293,744,3918,28.25,71.75
Code:Breaker,5528,12326,437,30.96,69.04
Colorful (Movie),4024,6566,942,38.0,62.0
Comic Party Specials,157,629,6024,19.97,80.03
Concrete Revolutio: Choujin Gensou - The Last Song,452,1799,2475,20.08,79.92
Connected,434,538,5856,44.65,55.35
Cool Devices,184,810,4966,18.51,81.49
Coquelicot-zaka kara,3710,4876,1170,43.21,56.79
Corrector Yui,831,742,3808,52.83,47.17
Cosmic Baton Girl Comet-san☆,249,134,6652,65.01,34.99
Cosmo Police Justy,57,236,7737,19.45,80.55
Cowboy Bebop: Ein no Natsuyasumi,356,1342,3259,20.97,79.03
Crash!,156,76,7753,67.24,32.76
Crayon Angel,29,92,9418,23.97,76.03
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,106,338,6105,23.87,76.13
Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,123,312,6052,28.28,71.72
Crayon Shin-chan Movie 04: Henderland no Daibouken,78,217,6657,26.44,73.56
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,163,450,5492,26.59,73.41
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,60,164,7298,26.79,73.21
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,32,120,7814,21.05,78.95
Creamy Pie,38,406,5398,8.56,91.44
Cross Fight B-Daman,121,239,6213,33.61,66.39
Crush Gear Nitro,41,113,8529,26.62,73.38
Crusher Joe OVA,42,301,7244,12.24,87.76
Crying Freeman,228,923,4530,19.81,80.19
Crystal Blaze,1034,2045,3259,33.58,66.42
Cyber City Oedo 808,331,1545,3370,17.64,82.36
Cybersix,251,489,5023,33.92,66.08
Cyborg 009 VS Devilman,166,639,4435,20.62,79.38
Cyborg 009: Call of Justice 1,72,278,6398,20.57,79.43
Cyborg 009: Chou Ginga Densetsu,64,192,7691,25.0,75.0
Cyborg 009: Kaijuu Sensou,47,152,8126,23.62,76.38
C³ Special,369,3056,2562,10.77,89.23
D-Frag!,2815,16129,336,14.86,85.14
D.C.: Da Capo,2141,8202,1405,20.7,79.3
D.C.III: Da Capo III Special,83,546,5557,13.2,86.8
DNA²,1071,3657,2216,22.65,77.35
DRAMAtical Murder,5336,3660,862,59.32,40.68
Da Yu Hai Tang,975,1104,3197,46.9,53.1
Daisuki! BuBu ChaCha,104,104,8287,50.0,50.0
"Dakara Boku wa, H ga Dekinai.",2452,18136,302,11.91,88.09
Dallos,112,566,5528,16.52,83.48
Danball Senki,172,465,5001,27.0,73.0
Danball Senki Wars,74,210,6405,26.06,73.94
"Dance, Dance, Dance",37,90,9449,29.13,70.87
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,2880,7034,584,29.05,70.95
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,9321,21465,107,30.28,69.72
Dark,33,254,7285,11.5,88.5
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,4193,11580,860,26.58,73.42
Dash! Yonkurou,87,136,8061,39.01,60.99
Date A Live II,2093,16112,252,11.5,88.5
Daybreak Interlude,98,45,8766,68.53,31.47
Daze,319,516,5235,38.2,61.8
De:vadasy,54,315,7298,14.63,85.37
Dead Girl Trailer,78,243,7693,24.3,75.7
Dead World,37,108,8399,25.52,74.48
Death Billiards,4471,9893,637,31.13,68.87
Death March kara Hajimaru Isekai Kyousoukyoku,1082,8350,557,11.47,88.53
Death Parade,10781,25778,47,29.49,70.51
Denpa-teki na Kanojo,4766,12135,831,28.2,71.8
Densetsu Kyojin Ideon: Hatsudou-hen,88,563,5287,13.52,86.48
Densha Kamo Shirenai,79,100,9124,44.13,55.87
Detective Conan Bonus File: Fantasista Flower,308,478,4609,39.19,60.81
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,493,701,4104,41.29,58.71
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,380,580,4396,39.58,60.42
Detective Conan Movie 01: The Timed Skyscraper,1857,2986,1852,38.34,61.66
Detective Conan Movie 03: The Last Wizard of the Century,1680,2646,1939,38.83,61.17
Detective Conan Movie 04: Captured in Her Eyes,1601,2495,1993,39.09,60.91
Detective Conan Movie 06: The Phantom of Baker Street,1672,2686,1833,38.37,61.63
Detective Conan Movie 11: Jolly Roger in the Deep Azure,1226,1922,2404,38.95,61.05
Detective Conan Movie 13: The Raven Chaser,1272,2082,2137,37.92,62.08
Detective Conan Movie 17: Private Eye in the Distant Sea,672,1288,2770,34.29,65.71
Detective Conan Movie 21: The Crimson Love Letter,327,633,3781,34.06,65.94
Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki&#039;s Case Files,581,827,3951,41.26,58.74
Detective Conan: Black History,255,414,5014,38.12,61.88
Detective Conan: Chase the Mysterious Comet Monster!,86,156,7386,35.54,64.46
Detective File 1: Kindan no Ai,40,159,7968,20.1,79.9
Detroit Metal City,5094,14089,627,26.55,73.45
Devil Survivor 2 The Animation,4473,10235,681,30.41,69.59
Devilman: Crybaby,3000,8573,424,25.92,74.08
