title,female_count,male_count,popularity,female_percentage,male_percentage
"\"\"\"Eiyuu\"\" Kaitai\"",59,180,7068,24.69,75.31
"\"Boku no Imouto wa \"\"Osaka Okan\"\": Haishin Gentei Osaka Okan.\"",152,535,5817,22.13,77.87
"\"Busou Shoujo Machiavellianism: Doki! \"\"Goken-darake\"\" no Ian Ryokou\"",143,1315,2973,9.81,90.19
"\"Haikyuu!!: vs \"\"Akaten\"\"\"",676,844,3320,44.47,55.53
"\"Love Hina: Motoko no Sentaku, Koi ka Ken... \"\"Naku na\"\"\"",1151,5786,2091,16.59,83.41
"\"Ore ga Ojousama Gakkou ni \"\"Shomin Sample\"\" Toshite Gets♥Sareta Ken Specials\"",97,1037,3407,8.55,91.45
"\"Ore ga Ojousama Gakkou ni \"\"Shomin Sample\"\" Toshite Gets♥Sareta Ken\"",887,9019,682,8.95,91.05
"\"The Tales of Rien Village #1: \"\"Toilet ni Ittokiya\"\"\"",57,68,9903,45.6,54.4
"\"Trickster: Edogawa Ranpo \"\"Shounen Tanteidan\"\" yori OVA\"",207,302,5018,40.67,59.33
.hack//G.U. Trilogy,1140,3297,2333,25.69,74.31
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,246,659,4513,27.18,72.82
.hack//Tasogare no Udewa Densetsu,2617,5875,1474,30.82,69.18
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,654,1467,3726,30.83,69.17
.hack//The Movie: Sekai no Mukou ni,590,1578,3233,27.21,72.79
.hack//Unison,1043,2812,2767,27.06,72.94
001,119,427,6289,21.79,78.21
100-man-nen Chikyuu no Tabi: Bander Book,23,107,9013,17.69,82.31
11-nin Iru!,347,742,4619,31.86,68.14
12-sai.: Chicchana Mune no Tokimeki 2nd Season,372,490,4002,43.16,56.84
15 Bishoujo Hyouryuuki,296,1995,3053,12.92,87.08
2010,31,83,9479,27.19,72.81
21-ji no Onna: Newscaster Katsuragi Miki,130,389,6199,25.05,74.95
