title,female_count,male_count,popularity,female_percentage,male_percentage
"\"\"\"0\"\"\"",182,308,6833,37.14,62.86
"\"\"\"Bungaku Shoujo\"\" Kyou no Oyatsu: Hatsukoi\"",1418,2363,2978,37.5,62.5
"\"\"\"Bungaku Shoujo\"\" Memoire\"",1621,2799,2581,36.67,63.33
"\"Boku no Imouto wa \"\"Osaka Okan\"\"\"",683,2123,3073,24.34,75.66
"\"Boku no Imouto wa \"\"Osaka Okan\"\": Uchi no Oniichan wa Tokyo Rule\"",119,425,6115,21.88,78.13
"\"Gyakuten Saiban: Sono \"\"Shinjitsu\"\"",2172,5519,5839.0,28.24,71.76
"\"Ikoku Meiro no Croisée The Animation: Ongakkai \"\"Récital\"\"\"",549,1002,4334,35.4,64.6
"\"Mogyutto \"\"Love\"\" de Sekkinchuu!\"",642,1233,3848,34.24,65.76
"\"The iDOLM@STER Million Live! \"\"Dreaming!\"\" Animation PV\"",65,150,7880,30.23,69.77
"\"Trickster: Edogawa Ranpo \"\"Shounen Tanteidan\"\" yori\"",2079,4116,1092,33.56,66.44
.hack//G.U. Returner,900,2279,2878,28.31,71.69
.hack//G.U. Trilogy: Parody Mode,527,1276,3893,29.23,70.77
.hack//Gift,966,2344,2894,29.18,70.82
.hack//Quantum,977,3197,2084,23.41,76.59
.hack//Sign,4844,12669,650,27.66,72.34
.hack//Versus: The Thanatos Report,216,588,4774,26.87,73.13
009-1: R&B,160,587,5616,21.42,78.58
1+2=Paradise,164,746,4906,18.02,81.98
100% Pascal-sensei (TV),50,132,7567,27.47,72.53
11eyes,5286,14175,487,27.16,72.84
11eyes: Momoiro Genmutan,1404,4193,2037,25.08,74.92
12-sai. 2nd Season,103,151,6487,40.55,59.45
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,47,91,9157,34.06,65.94
3-Nen D-Gumi Glass no Kamen,85,124,7644,40.67,59.33
3-gatsu no Lion Recap,329,842,4155,28.1,71.9
30-sai no Hoken Taiiku Specials,156,486,5280,24.3,75.7
3D Kanojo: Real Girl,1255,3743,1249,25.11,74.89
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,61,604,4439,9.17,90.83
3x3 Eyes Seima Densetsu,579,1476,3650,28.18,71.82
48x61,58,187,8096,23.67,76.33
A Kite,1454,4659,1946,23.79,76.21
A-Size Classmate,71,424,5148,14.34,85.66
A.D. Police (TV),246,923,4294,21.04,78.96
A.I.C.O.: Incarnation,593,2348,1926,20.16,79.84
A.LI.CE,87,161,7804,35.08,64.92
AD Police,242,1222,3964,16.53,83.47
AIKa,688,3144,2606,17.95,82.05
AIKa Zero,277,1868,3446,12.91,87.09
AIKa Zero Picture Drama,85,506,5874,14.38,85.62
AKB0048: Next Stage,1148,2252,2286,33.76,66.24
Aachi wa Ssipak,338,984,4340,25.57,74.43
Abarenbou Rikishi!! Matsutarou,161,938,4372,14.65,85.35
