title,female_count,male_count,popularity,female_percentage,male_percentage
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,1286,5512,1581,18.92,81.08
Air Soushuuhen,179,414,5837,30.19,69.81
Air in Summer,2541,5008,2025,33.66,66.34
Aishiteruze Baby★★,5639,5803,1121,49.28,50.72
Aisubeki Mirai e,147,159,8073,48.04,51.96
Ajimu: Kaigan Monogatari,937,1390,3630,40.27,59.73
Ajin,5131,13330,240,27.79,72.21
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",1654,1753,1956,48.55,51.45
Akai Boushi,56,72,9681,43.75,56.25
Akame ga Kill! Recap,315,1282,2809,19.72,80.28
Akane Maniax,926,2621,3054,26.11,73.89
Akaneiro ni Somaru Saka,3238,13309,789,19.57,80.43
Akaneiro ni Somaru Saka: Hardcore,802,5126,2078,13.53,86.47
Akazukin Chacha,899,736,3812,54.98,45.02
Aki no Puzzle,42,141,8481,22.95,77.05
Akkun to Kanojo,760,1644,2302,31.61,68.39
Akuma no Kimuraa-hen,40,125,8420,24.24,75.76
Allargando The Animation,33,377,5807,8.05,91.95
Alps Monogatari: Watashi no Annette,213,223,6669,48.85,51.15
Alps no Shoujo Heidi: Alm no Yama-hen,86,96,8420,47.25,52.75
Alps no Shoujo Heidi: Heidi to Clara-hen,80,89,8428,47.34,52.66
Amaenaide yo!! Katsu!!,643,5733,1834,10.08,89.92
Amagami SS+ Plus,1239,10145,911,10.88,89.12
Amagami SS+ Plus Specials,336,2860,2519,10.51,89.49
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,828,4186,1629,16.51,83.49
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,487,1852,2589,20.82,79.18
Amanchu!,1555,4855,1333,24.26,75.74
Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,306,1158,3684,20.9,79.1
Ame-iro Cocoa,1576,928,2830,62.94,37.06
Ame-iro Cocoa in Hawaii,334,201,5446,62.43,37.57
Ame-iro Cocoa: Rainy Color e Youkoso!,674,436,4185,60.72,39.28
Amon: Devilman Mokushiroku,453,1375,3451,24.78,75.22
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,93,443,5655,17.35,82.65
Android Ana Maico 2010,123,351,6644,25.95,74.05
Andromeda Stories,86,131,8226,39.63,60.37
Ane Kyun!: Joshi ga Ie ni Kita!,40,472,5255,7.81,92.19
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,30,250,6784,10.71,89.29
Ane Yome Quartet,57,665,4287,7.89,92.11
Ane to Boin,189,1257,4027,13.07,86.93
Aneimo,167,1423,3836,10.5,89.5
Aneki no Kounai Kaikinbi,62,580,5103,9.66,90.34
Anemone,289,347,5995,45.44,54.56
Angel,35,192,7714,15.42,84.58
Angel Blade Punish!,122,775,4986,13.6,86.4
Angel Cop,206,1006,4139,17.0,83.0
Angelique,630,192,5275,76.64,23.36
Ani ni Tsukeru Kusuri wa Nai!,529,1021,2860,34.13,65.87
Animal Dance,40,103,9411,27.97,72.03
Animation Seisaku Shinkou Kuromi-chan,428,1090,4324,28.19,71.81
Anime Himitsu no Hanazono,322,196,6087,62.16,37.84
Anime Sanjuushi,237,283,6212,45.58,54.42
Anime Tenchou,481,1411,4227,25.42,74.58
Anime de Wakaru Shinryounaika,1134,2580,2254,30.53,69.47
Anisama,28,168,7655,14.29,85.71
Anitore! EX: Jigoku no Training,37,185,7104,16.67,83.33
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",650,2772,2260,18.99,81.01
Ansatsu Kyoushitsu 2nd Season,4376,14179,134,23.58,76.42
Ansatsu Kyoushitsu: Jump Festa 2013 Special,1517,3498,1555,30.25,69.75
Answer (2016),193,483,5450,28.55,71.45
Antinotice,89,146,8316,37.87,62.13
Anyamal Tantei Kiruminzoo,423,469,4994,47.42,52.58
Ao no Exorcist Movie Special,959,1470,2335,39.48,60.52
Ao no Exorcist: Kuro no Iede,4371,5672,1050,43.52,56.48
Aoi Blink,79,142,8050,35.75,64.25
Aoki Hagane no Arpeggio: Ars Nova Cadenza,264,1850,2738,12.49,87.51
Aoki Honoo,110,317,7044,25.76,74.24
Aos,123,258,7545,32.28,67.72
Aozora Shoujo-tai,148,778,5072,15.98,84.02
Appleseed Alpha,192,1220,3501,13.6,86.4
Aquarion Evol,2432,6703,1087,26.62,73.38
Arabian Nights: Sindbad no Bouken (TV),257,335,5617,43.41,56.59
Araiguma Rascal,110,138,7788,44.35,55.65
Arakure Junichi no Namida,12,72,10061,14.29,85.71
Arashi no Yoru ni: Himitsu no Tomodachi,159,155,7004,50.64,49.36
Arata Kangatari,2224,4117,1578,35.07,64.93
Arata Kangatari Picture Drama,84,119,7437,41.38,58.62
Arbeit Shiyo!!,30,342,6511,8.06,91.94
Arcade Gamer Fubuki,160,699,5278,18.63,81.37
Arcade Gamer Fubuki Extra,55,250,7688,18.03,81.97
Arcana Famiglia,6500,8662,635,42.87,57.13
Arei no Kagami: Way to the Virgin Space,51,101,8803,33.55,66.45
Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,556,1906,3454,22.58,77.42
Armed Blue Gunvolt,102,428,4898,19.25,80.75
Around,32,103,9063,23.7,76.3
Aru Machi Kado no Monogatari,160,319,6601,33.4,66.6
Asako Get You!!,165,523,5910,23.98,76.02
Ashita e Free Kick,84,154,7838,35.29,64.71
Ashita no Joe 2,174,1180,3364,12.85,87.15
Ashita no Yukinojou,76,303,6981,20.05,79.95
Asience: Kami wa Onna no Inochi,599,547,5293,52.27,47.73
Asobi ni Iku yo!: Asobi ni Oide,375,4232,2111,8.14,91.86
Asobi ni Iku yo!: Asobi ni Oide - Owari,50,466,4693,9.69,90.31
Asobot Senki Gokuu,116,264,6773,30.53,69.47
Assemble Insert,91,327,6810,21.77,78.23
Astroganger,27,90,8992,23.08,76.92
Attacker You!,328,392,5534,45.56,54.44
Ayashi no Ceres,4803,2627,1677,64.64,35.36
Azumanga Daioh,9054,19506,369,31.7,68.3
B Who I Want 2 B,63,120,8446,34.43,65.57
B&#039;T X,310,837,4259,27.03,72.97
B&#039;T X Neo,132,438,5750,23.16,76.84
B-Project: Kodou*Ambitious,1685,574,2328,74.59,25.41
Babel Nisei (2001),99,262,6936,27.42,72.58
Baccano!,13310,31424,87,29.75,70.25
Bakegyamon,102,232,7022,30.54,69.46
Bakemonogatari Recap,1336,4084,1934,24.65,75.35
Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,24,424,5229,5.36,94.64
Bakuen Campus Guardress,104,298,7070,25.87,74.13
Bakugan Battle Brawlers: Mechtanium Surge,286,866,3090,24.83,75.17
Bakuman. 2nd Season,5322,14979,374,26.22,73.78
Bakuman.: Deraman.,408,920,3622,30.72,69.28
Bakumatsu Gijinden Roman,441,1303,3904,25.29,74.71
Bakumatsu Kikansetsu Irohanihoheto,2376,3686,2072,39.19,60.81
Bakumatsu Rock,1682,1417,2559,54.28,45.72
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,171,136,7192,55.7,44.3
Bakunyuu Shimai,45,474,5989,8.67,91.33
Bakuretsu Tenshi: Infinity Special,288,863,4878,25.02,74.98
Bakusou Kyoudai Let&#039;s & Go WGP,117,382,5814,23.45,76.55
Bakuten Shoot Beyblade G Revolution,1243,3105,2210,28.59,71.41
Balloon,22,69,9867,24.18,75.82
Balthus: Tia no Kagayaki,43,173,7920,19.91,80.09
BanG Dream!,656,1679,2586,28.09,71.91
Bannou Bunka Neko-Musume DASH!,242,662,5335,26.77,73.23
Basilisk: Kouga Ninpou Chou,4704,12477,669,27.38,72.62
Battle Athletess Daiundoukai (TV),313,771,4647,28.87,71.13
Battle Spirits: Brave,69,185,7007,27.17,72.83
Battle Spirits: Ryuuko no Ken,84,396,6745,17.5,82.5
Bavel no Hon,222,380,6642,36.88,63.12
Be-yond,20,142,8492,12.35,87.65
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,30,159,8679,15.87,84.13
Beatless Intermission,58,362,5359,13.81,86.19
Beck,7625,17605,414,30.22,69.78
Beelzebub,7794,19497,208,28.56,71.44
Behind a Smile,24,72,9539,25.0,75.0
Ben-To,2793,16689,388,14.34,85.66
Betterman,449,1415,3706,24.09,75.91
Bible Black: New Testament Recap,68,375,5518,15.35,84.65
Big Order (TV),1747,8301,689,17.39,82.61
Binan Koukou Chikyuu Boueibu LOVE! LOVE!,1354,545,2792,71.3,28.7
Binetsukko ♭37℃ The Animation,37,360,6471,9.32,90.68
Bio Hunter,312,1079,4215,22.43,77.57
Biohazard 4D-Executer,145,556,5997,20.68,79.32
Biohazard: Degeneration,1060,4326,2393,19.68,80.32
Biohazard: Vendetta,240,1058,3748,18.49,81.51
Birthday Boy,143,217,7677,39.72,60.28
Bishoujo Senshi Sailor Moon,12813,9290,423,57.97,42.03
Bishoujo Senshi Sailor Moon SuperS,5865,3265,1241,64.24,35.76
Bishoujo Senshi Sailor Moon SuperS Special,1735,899,3133,65.87,34.13
Black Bullet,6271,23891,92,20.79,79.21
Black Bullet: Tenchuu＊Girls,174,769,3593,18.45,81.55
Black Gate: Kanin no Gakuen,110,559,5475,16.44,83.56
Black Jack (TV),920,1714,2675,34.93,65.07
Black Jack ONA,93,192,7229,32.63,67.37
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,246,489,5433,33.47,66.53
Black Jack the Movie,484,1099,4103,30.57,69.43
Black Jack: Futari no Kuroi Isha,198,425,5825,31.78,68.22
Black Lagoon: Roberta&#039;s Blood Trail,2833,14006,595,16.82,83.18
Black Magic M-66,221,1159,4152,16.01,83.99
Black★Rock Shooter,2238,4063,1541,35.52,64.48
Blade & Soul,1728,7489,943,18.75,81.25
Blade of the Immortal,1790,5759,1727,23.71,76.29
Blame!,921,2323,2698,28.39,71.61
Blassreiter: Navi,180,512,5731,26.01,73.99
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,6474,15545,512,29.4,70.6
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,5374,13409,575,28.61,71.39
Bleach Movie 4: Jigoku-hen,3365,9539,738,26.08,73.92
Bleach: Memories in the Rain,4457,9600,964,31.71,68.29
Blood Lad,8073,19548,164,29.23,70.77
Blood Lad: Kanketsu Kinen,328,742,3610,30.65,69.35
Blood+,11943,19924,277,37.48,62.52
Bloodivores,1556,3293,1321,32.09,67.91
Blue Gender,1540,5942,1522,20.58,79.42
Blue Seed,1043,2203,2790,32.13,67.87
Blue Seed 1.5,82,212,7361,27.89,72.11
Blue Seed 2,304,703,5159,30.19,69.81
Body Jack: Tanoshii Yutai Ridatsu,53,239,7562,18.15,81.85
Boin,206,1259,4037,14.06,85.94
Boku dake ga Inai Machi,10300,28384,40,26.63,73.37
Boku dake no Hentai Kanojo Motto♥ The Animation,19,180,6860,9.55,90.45
Boku no Hero Academia 3rd Season,3272,12408,233,20.87,79.13
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,627,6011,940,9.45,90.55
Boku no Marie,131,397,6090,24.81,75.19
Boku no Sexual Harassment,1944,320,3419,85.87,14.13
Boku to Misaki-sensei,29,382,5206,7.06,92.94
Boku wa Tomodachi ga Sukunai Episode 0,2146,10180,1003,17.41,82.59
Bokura no Live Kimi to no Life,898,1624,3213,35.61,64.39
Bokurano,3723,10370,869,26.42,73.58
Bokusatsu Tenshi Dokuro-chan 2,2801,10815,1033,20.57,79.43
Bonobono (2016),68,122,7467,35.79,64.21
Boogiepop wa Warawanai: Boogiepop Phantom,3266,6408,1380,33.76,66.24
Bouken Dankichi: Hyouryuu no Maki,32,102,9275,23.88,76.12
Boukensha: The Man Was from Spain,48,96,9098,33.33,66.67
Brave Witches: Petersburg Daisenryaku,86,589,4813,12.74,87.26
Break Blade 6: Doukoku no Toride,1094,5799,1673,15.87,84.13
Brotherhood: Final Fantasy XV,1365,3782,1575,26.52,73.48
Buddy Complex: Daremo Shiranai Ashita e,32,133,7121,19.39,80.61
Buddy Go! 2,91,52,7920,63.64,36.36
Bungou Stray Dogs,7090,14337,160,33.09,66.91
Bungou Stray Dogs: Dead Apple,741,1036,2424,41.7,58.3
Burn Up! W,235,1162,4339,16.82,83.18
Busou Shoujo Machiavellianism,1040,7863,621,11.68,88.32
Buta no Gotoki Sanzoku ni Torawarete Shojo wo Ubawareru Kyonyuu Himekishi & Onna Senshi,19,295,5981,6.05,93.95
Buttobi!! CPU,158,908,4941,14.82,85.18
C.L.A.Y.,93,297,7200,23.85,76.15
California Crisis: Tsuigeki no Juuka,88,356,6511,19.82,80.18
Canaan,5694,16338,550,25.84,74.16
Canaan: Minorikawa Report 201X Shanghai,271,769,4442,26.06,73.94
Canary,149,237,7634,38.6,61.4
Canary wa Kago no Naka,45,219,7518,17.05,82.95
Candy Candy: Candy no Natsu Yasumi,160,94,7729,62.99,37.01
Canvas 2: Niji-iro no Sketch,864,3614,2560,19.29,80.71
Capeta,298,1567,3307,15.98,84.02
Captain Herlock,895,3372,1921,20.97,79.03
Captain Tsubasa,1685,4678,1600,26.48,73.52
Captain Tsubasa (2018),364,2304,2200,13.64,86.36
Captain Tsubasa J,609,2015,2819,23.21,76.79
Captain Tsubasa: Asu ni Mukatte Hashire!,125,446,5935,21.89,78.11
Captain Tsubasa: Ayaushi! Zen Nihon Jr.,130,438,5930,22.89,77.11
Captain Tsubasa: Road to 2002,783,2877,2243,21.39,78.61
Captain Tsubasa: Saikyou no Teki! Holland Youth,121,440,6021,21.57,78.43
Cardcaptor Sakura,12620,13818,292,47.73,52.27
Cardcaptor Sakura: Clear Card-hen Recap,105,145,6942,42.0,58.0
Cardcaptor Sakura: Kero-chan ni Omakase!,2427,2028,2438,54.48,45.52
Cardfight!! Vanguard,1020,2914,2077,25.93,74.07
Cardfight!! Vanguard G,174,514,4169,25.29,74.71
Cardfight!! Vanguard G: Stride Gate-hen,105,275,5324,27.63,72.37
Cardfight!! Vanguard: Asia Circuit-hen,384,1226,3184,23.85,76.15
Carnival Phantasm,2051,10545,878,16.28,83.72
Catman,158,306,7059,34.05,65.95
Catman Series II,58,170,8531,25.44,74.56
Cele Kano,18,375,6396,4.58,95.42
Centaur no Nayami,991,3256,1589,23.33,76.67
Chain Chronicle: Haecceitas no Hikari,912,3616,1387,20.14,79.86
Chain Chronicle: Haecceitas no Hikari Part 1,420,1331,3005,23.99,76.01
Chance Triangle Session,426,328,5564,56.5,43.5
Charlotte: Tsuyoimono-tachi,1283,4831,1292,20.98,79.02
Charm Point 1: Sister&#039;s Rondo,29,176,8109,14.15,85.85
Cheburashka Arere?,259,444,6254,36.84,63.16
Cherry & Gal&#039;s↑↑,22,221,6771,9.05,90.95
Chicchana Onaka,53,444,5332,10.66,89.34
Chichiiro Toiki,58,682,4397,7.84,92.16
Chijoku Shinsatsushitsu,108,530,5648,16.93,83.07
Chijoku no Seifuku,20,361,5508,5.25,94.75
Chikan Juunin-tai The Animation,35,233,7283,13.06,86.94
Chikan no Licence,47,473,5418,9.04,90.96
Chikyuu Bouei Kigyou Dai-Guard,194,902,4598,17.7,82.3
Chikyuu ga Ugoita Hi,66,132,8392,33.33,66.67
Chimera: Target I Datenshi Kourin,56,167,8198,25.11,74.89
Chinmoku no Kantai,41,223,7746,15.53,84.47
Chirorin Mura Monogatari,52,50,9484,50.98,49.02
Chobits,14338,24801,188,36.63,63.37
Chobits Recap,2434,4757,2034,33.85,66.15
Choboraunyopomi Gekijou Ai Mai Mii,957,2663,2547,26.44,73.56
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,324,1104,3879,22.69,77.31
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,122,343,6286,26.24,73.76
Chocolate Underground,1581,1097,3644,59.04,40.96
Chocolate Underground: Bokura no Chocolate Sensou,227,172,7356,56.89,43.11
Choisuji,75,739,5069,9.21,90.79
Chokkyuu Hyoudai Robot Anime: Straight Title,47,265,7253,15.06,84.94
Chou Akuukan Bouheki Cheese Napolitan,52,128,8687,28.89,71.11
Chou Denji Machine Voltes V,169,612,5345,21.64,78.36
Chou Denji Robo Combattler V,61,303,7138,16.76,83.24
Chou Henshin Cosprayers Specials,95,382,7258,19.92,80.08
Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,114,415,7025,21.55,78.45
Choubatsu Yobikou,63,331,6618,15.99,84.01
Choujin Densetsu Urotsukidouji Movie,103,553,5739,15.7,84.3
Choujin Densetsu Urotsukidouji: Mirai-hen,52,354,6663,12.81,87.19
Choujuu Densetsu Gestalt,287,461,6005,38.37,61.63
Choujuushin Gravion Zwei,189,1138,4384,14.24,85.76
Chouon Senshi Borgman,53,211,7642,20.08,79.92
Christmas,37,89,9417,29.37,70.63
Chuunibyou demo Koi ga Shitai! Ren Specials,573,2444,2126,18.99,81.01
Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,1333,4826,1637,21.64,78.36
ChäoS;Child Episode 0,372,1770,3144,17.37,82.63
Cinderella Boy,255,496,5250,33.95,66.05
Cinderella Girls Gekijou 2nd Season,144,501,4970,22.33,77.67
Cinderella Girls Gekijou Specials,51,163,7543,23.83,76.17
Cinderella Girls Gekijou: Kayou Cinderella Theater,94,327,6150,22.33,77.67
Cipher,260,418,5570,38.35,61.65
City Hunter 2,290,1283,3527,18.44,81.56
City Hunter: Ai to Shukumei no Magnum,136,654,5235,17.22,82.78
Clannad: After Story,13380,36467,55,26.84,73.16
ClassicaLoid 2nd Season,212,334,5092,38.83,61.17
Classroom☆Crisis,1402,6096,1144,18.7,81.3
Claymore,10649,30664,119,25.78,74.22
Cobra The Animation,132,847,4781,13.48,86.52
Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e,809,3315,1770,19.62,80.38
Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama,1204,2424,2551,33.19,66.81
Code Geass: Hangyaku no Lelouch I - Koudou,579,2065,2181,21.9,78.1
Code Geass: Hangyaku no Lelouch II - Handou,475,1631,2562,22.55,77.45
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,1365,2891,2139,32.07,67.93
Colosseum no Senki: Another Story,17,235,6705,6.75,93.25
Comic Girls,603,2854,1731,17.44,82.56
Comic Party,841,2314,3132,26.66,73.34
Comic Party Revolution OVA,115,446,6409,20.5,79.5
Concrete Revolutio: Choujin Gensou,1444,4748,1357,23.32,76.68
Copihan,566,1100,4322,33.97,66.03
Coppelion,3298,9099,949,26.6,73.4
Corpse Party: Missing Footage,3089,5524,1077,35.86,64.14
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,4979,9940,424,33.37,66.63
Cosmo Warrior Zero,149,548,5788,21.38,78.62
Cosplay Complex: Extra Identification,191,516,6536,27.02,72.98
Cosplay Roshutsu Kenkyuukai,38,412,5938,8.44,91.56
Cowboy Bebop: Tengoku no Tobira,4606,16142,438,22.2,77.8
Cowboy Bebop: Yose Atsume Blues,976,2991,2387,24.6,75.4
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,106,246,6517,30.11,69.89
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,17,62,8811,21.52,78.48
Cream Lemon,148,502,5419,22.77,77.23
Cream Lemon: New Generation,65,180,8016,26.53,73.47
Cross Game,2169,7631,1167,22.13,77.87
Cross Road,1755,3153,1904,35.76,64.24
Cure Miracle to Mofurun no Mahou Lesson,45,61,9437,42.45,57.55
Custom Reido,51,221,7710,18.75,81.25
Cutey Honey,508,1024,3773,33.16,66.84
Cutey Honey F,326,504,4868,39.28,60.72
Cutey Honey Flash: The Movie,111,270,6599,29.13,70.87
Cuticle Tantei Inaba,3502,5041,1264,40.99,59.01
Cutie Honey Universe,305,1043,3568,22.63,77.37
Cyborg 009 (TV),144,373,5246,27.85,72.15
Cyborg 009: Call of Justice 3,49,182,7183,21.21,78.79
D.Gray-man,15574,26220,106,37.26,62.74
D.Gray-man Hallow,3130,5876,795,34.75,65.25
D.I.C.E.,284,396,5796,41.76,58.24
D.N.Angel,10669,10379,582,50.69,49.31
DD Hokuto no Ken,77,404,5958,16.01,83.99
DNA Hunter,32,236,7488,11.94,88.06
DNA Sights 999.9,74,244,7531,23.27,76.73
DPR Special Movie,52,148,8617,26.0,74.0
DRAMAtical Murder OVA: Data_xx_Transitory,1321,372,2865,78.03,21.97
Daa! Daa! Daa!,1629,901,3045,64.39,35.61
Dae Jang Geum: Jang Geum&#039;s Dream,201,130,7079,60.73,39.27
Dagashi Kashi 2,702,4550,1347,13.37,86.63
Dai Mahou Touge,1102,3324,2455,24.9,75.1
Dainiji Ura Nyuugakushiken The Animation,20,166,7043,10.75,89.25
Daisougen no Chiisana Tenshi: Bush Baby,87,140,7781,38.33,61.67
Daitoshokan no Hitsujikai,819,6159,1209,11.74,88.26
"Dakara Boku wa, H ga Dekinai. OVA",419,4646,1741,8.27,91.73
"Dakara Boku wa, H ga Dekinai. Recap",234,1685,3019,12.19,87.81
Dame x Prince Anime Caravan,715,453,3359,61.22,38.78
Damekko Doubutsu,1048,842,3873,55.45,44.55
Dance in the Vampire Bund Recap,770,1477,3484,34.27,65.73
Dance with Devils,3592,1334,1375,72.92,27.08
Danchigai,955,4796,1449,16.61,83.39
Danna ga Nani wo Itteiru ka Wakaranai Ken,3832,12918,440,22.88,77.12
Danshi Koukousei no Nichijou Specials,2347,5751,1195,28.98,71.02
Dantalian no Shoka: Ibarahime,1009,1901,2947,34.67,65.33
Darcrows,49,338,6968,12.66,87.34
Dark Shell: Ori no Naka no Namameki,96,592,5744,13.95,86.05
Darker than Black: Kuro no Keiyakusha,14993,36746,61,28.98,71.02
Darker than Black: Kuro no Keiyakusha Gaiden,4508,14502,476,23.71,76.29
Date A Live,4957,25108,104,16.49,83.51
Date A Live Movie: Mayuri Judgment,630,5821,1043,9.77,90.23
Date A Live: Date to Date,1140,8719,912,11.56,88.44
Date A Live: Encore,677,5746,1120,10.54,89.46
Days (TV),2015,4560,1112,30.65,69.35
Dead Leaves,1996,6107,1508,24.63,75.37
Deadman Wonderland,12933,32222,53,28.64,71.36
Dear Boys,1145,1509,3084,43.14,56.86
DearS,3548,12584,820,21.99,78.01
Death Note: Rewrite,5803,9494,784,37.94,62.06
Deimos no Hanayome: Ran no Kumikyoku,293,262,6213,52.79,47.21
Dekobou no Jidousha Ryokou,46,134,8801,25.56,74.44
Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,35,470,5139,6.93,93.07
Demonion: Gaiden,44,365,5714,10.76,89.24
Dengeki Bunko 2007 Movie Festival Special,264,682,5636,27.91,72.09
Denki-gai no Honya-san,1947,7243,1035,21.19,78.81
Dennou Boukenki Webdiver,42,158,7842,21.0,79.0
Denpa Kyoushi (TV),1483,7430,933,16.64,83.36
Densetsu Kyojin Ideon,158,1085,4092,12.71,87.29
Denshin Mamotte Shugogetten,169,491,6237,25.61,74.39
Denshinbashira Elemi no Koi,86,191,7189,31.05,68.95
Detatoko Princess,101,268,7180,27.37,72.63
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,608,822,3840,42.52,57.48
Detective Conan Movie 05: Countdown to Heaven,1550,2500,1991,38.27,61.73
Detective Conan Movie 07: Crossroad in the Ancient Capital,1383,2158,2192,39.06,60.94
Detective Conan Movie 09: Promo Special,233,390,4674,37.4,62.6
Detective Conan Movie 09: Strategy Above the Depths,1304,2034,2276,39.07,60.93
Detective Conan Movie 16: The Eleventh Striker,781,1448,2626,35.04,64.96
Detective Conan Movie 20: The Darkest Nightmare,418,834,3128,33.39,66.61
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,896,1224,3361,42.26,57.74
Detective Conan OVA 02: 16 Suspects,752,1076,3616,41.14,58.86
Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,743,1017,3684,42.22,57.78
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,742,1011,3647,42.33,57.67
Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,658,939,3824,41.2,58.8
Detective Conan OVA 11: A Secret Order from London,452,695,4115,39.41,60.59
Detective Conan OVA 12: The Miracle of Excalibur,356,568,4407,38.53,61.47
Detective Conan: Episode One - The Great Detective Turned Small,282,598,3629,32.05,67.95
Detroit Metal City: Birth of the Metal Devil,1151,3118,2782,26.96,73.04
Devilman,356,998,3500,26.29,73.71
Devils Line,1724,2839,1354,37.78,62.22
Di Gi Charat Nyo,363,519,5113,41.16,58.84
Diamond no Ace,3095,7066,787,30.46,69.54
Diamond no Ace OVA,508,803,3756,38.75,61.25
Digimon Adventure 02,5144,11702,565,30.54,69.46
Digimon Adventure 02 Movies,1343,3136,2044,29.98,70.02
Digimon Adventure 02: Diablomon no Gyakushuu,1563,3770,1852,29.31,70.69
Digimon Adventure 3D: Digimon Grand Prix!,272,714,4595,27.59,72.41
