title,female_count,male_count,popularity,female_percentage,male_percentage
"\"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru \"\"LIPS Eizou\"\"\"",708,2779,2564,20.3,79.7
"\"Kokoro ga Sakebitagatterunda. x Sony Hi-Res \"\"Walkman\"\" and Headphone\"",101,238,6398,29.79,70.21
"\"Lupin III: Episode 0 \"\"First Contact\"\"\"",215,867,4613,19.87,80.13
"\"Marriage Blue: \"\"Konyakusha ga Iru no ni",47,320,,12.81,87.19
"\"Tokyo Ghoul: \"\"Jack\"\"\"",2440,5480,772,30.81,69.19
.hack//Liminality,1305,3495,2261,27.19,72.81
.hack//Roots,2259,6413,1391,26.05,73.95
009 Re:Cyborg,422,1255,3574,25.16,74.84
00:08,195,491,5227,28.43,71.57
1000-nen Joou: Queen Millennia,169,417,6267,28.84,71.16
11eyes Picture Drama,97,294,5712,24.81,75.19
12-sai.,510,622,4033,45.05,54.95
12-sai.: Chicchana Mune no Tokimeki,898,1159,2789,43.66,56.34
20-dai no Heya-hen,90,161,8146,35.86,64.14
2005-nen Uchuu no Tabi,60,174,7978,25.64,74.36
3-gatsu no Lion 2nd Season,1550,5337,990,22.51,77.49
30th Gundam Perfect Mission,156,860,5012,15.35,84.65
4-Day Weekend,264,356,6678,42.58,57.42
6 Angels,171,401,6583,29.9,70.1
69 Pink Riders,21,94,8604,18.26,81.74
6♥Princess,282,306,6219,47.96,52.04
7-kakan.,27,54,10142,33.33,66.67
91 Days Recap,586,1366,3042,30.02,69.98
91 Daze,37,97,8618,27.61,72.39
ACCA: 13-ku Kansatsu-ka Specials,207,323,5011,39.06,60.94
AIKa R-16: Virgin Mission,376,2716,3010,12.16,87.84
Aa! Megami-sama! (TV) Specials,904,3402,2575,20.99,79.01
Aa! Megami-sama!: Sorezore no Tsubasa Specials,692,3079,2723,18.35,81.65
Abashiri Ikka,114,430,6351,20.96,79.04
Abunai Sisters: Koko & Mika,93,334,6321,21.78,78.22
Accel World,6821,26804,103,20.29,79.71
Accel World EX,1439,7686,1078,15.77,84.23
Ace wo Nerae! (1979),137,270,6785,33.66,66.34
Afro Samurai Movie,342,2043,2106,14.34,85.66
Afro Samurai Pilot,112,482,4923,18.86,81.14
After... The Animation,150,824,4732,15.4,84.6
Aftermath,38,141,8912,21.23,78.77
Agatha Christie no Meitantei Poirot to Marple,451,481,4944,48.39,51.61
Agitated Screams of Maggots,316,646,5384,32.85,67.15
Ahiru no Otegara,71,172,8225,29.22,70.78
Ai Tenshi Densetsu Wedding Peach,1911,765,3111,71.41,28.59
Ai Tenshi Densetsu Wedding Peach DX,557,244,5370,69.54,30.46
Ai Yori Aoshi: Enishi,1470,5912,1694,19.91,80.09
