studio,animes,sources,genres,male_score,female_score
100studio,Kono Sekai wa Fukanzen Sugiru,Web manga,"Adventure, Fantasy",,
10Gauge,"Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix, Gan Gan Ganko-chan 2nd Season, Drop, Osomatsu-san Short Film Series, Gan Gan Ganko-chan, Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten, Heikousen, Perfect Sekai","Manga, Other, Game, Original","Comedy, Sci-Fi, Sports, Slice of Life, Comedy, UNKNOWN, Romance",,
1IN,Renwu Dashi,Original,"Action, Adventure, Fantasy",,
2:10 AM Animation,"Zhu Tian Ji, Wangu Jian Shen (2022), Wo Shi Jiang Xiaobai 2nd Season, Dahuoji Yu Gongzhu Qun, Ju Bing Chang Cheng Zhuan, Wo Shi Jiang Xiaobai, Mi Bao Zhi Guo, Zhanguo Fan, Wo Shi Jiang Xiaobai (2018)","Web novel, Manga, Original, Novel","Action, Adventure, Fantasy, Fantasy, Mystery, Sci-Fi, Fantasy, Drama, Romance, Slice of Life, Drama, Romance",,
33 Collective,Chara to Otamajakushi Shima,Original,"Adventure, Fantasy",,
5 Inc.,"Exception, Make My Day",Original,"Horror, Suspense, Sci-Fi",,
6pucks,"Time Machine, Chinpu na Otoko",Original,"Award Winning, Drama, Drama, Sci-Fi",,
7doc,"AOTU Xueyuan, AOTU Shijie 2, AOTU Shijie 3, AOTU Xueyuan: Ge Rui de Xinnian, AOTU Xueyuan 2nd Season, AOTU Shijie, AOTU Shijie 4",Web manga,"Action, Adventure, Fantasy, Sci-Fi, Comedy, Fantasy",,
81 Produce,Otaku no Seiza,Game,Comedy,,
8bit,"Absolute Duo, Oshi ga Budoukan Ittekuretara Shinu, Grisaia no Rakuen Specials, Tensei shitara Slime Datta Ken 2nd Season, Yama no Susume Second Season Specials, Yama no Susume Third Season, Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2, Busou Shinki: Install x Dream, Aquarion Evol, Tensura Nikki: Tensei shitara Slime Datta Ken, Grisaia no Kajitsu Specials, Mahouka Koukou no Rettousei 10-shuunen Kinen PV, Grisaia no Meikyuu: Caprice no Mayu 0, IS: Infinite Stratos 2 - Hitonatsu no Omoide, Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki, Shounen Maid, Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo, Zenonzard The Animation Episode 0, Sukuwareru Ramiris, All Alone With You, Rewrite 2nd Season, Tensei shitara Slime Datta Ken OVA, Macross F Movie 2: Sayonara no Tsubasa, Mahouka Koukou no Rettousei: Raihousha-hen, Mahouka Koukou no Rettousei: Tsuioku-hen, Grisaia no Kajitsu, Tensei shitara Slime Datta Ken, Shy, Tensei shitara Slime Datta Ken 2nd Season Part 2, Comet Lucifer, Yama no Susume Second Season, Yama no Susume: Omoide Present, Grisaia no Rakuen, Miira no Kaikata, Tokyo Ravens, Zenonzard The Animation, IS: Infinite Stratos, IS: Infinite Stratos 2, Hoshiai no Sora, Yama no Susume, Rewrite, Blue Lock, Knight's & Magic, Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi, IS: Infinite Stratos 2 - World Purge-hen, IS: Infinite Stratos 2 - Infinite Wedding, IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou, Tensei shitara Slime Datta Ken: Coleus no Yume, Synduality: Noir, Yama no Susume: Kabe tte Kowakunai no?, Walkure Romanze, Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen, Busou Shinki, Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?, Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!, Macross F Movie 1: Itsuwari no Utahime, Yama no Susume: Next Summit","Visual novel, Light novel, Manga, Other, Music, Game, Mixed media, Original, Unknown, Web manga","Action, Action, Comedy, Sci-Fi, Action, Fantasy, Ecchi, Action, Sci-Fi, Slice of Life, Comedy, Slice of Life, Adventure, Comedy, Slice of Life, Comedy, Romance, Drama, Sports, Fantasy, Slice of Life, UNKNOWN, Action, Comedy, Sci-Fi, Ecchi, Romance, Sports, Ecchi, Action, Fantasy, Romance, Ecchi, Action, Fantasy, Romance, Drama, Romance, Slice of Life, Adventure, Slice of Life, Action, Award Winning, Romance, Sci-Fi, Action, Sci-Fi, Action, Fantasy, Sci-Fi, Action, Adventure, Fantasy, Action, Fantasy, Romance, Sci-Fi, Sports, Fantasy, Action, Comedy, Romance, Supernatural, Drama, Action, Drama, Comedy, Girls Love, Action, Adventure, Comedy, Fantasy, Action, Romance, Sci-Fi, Comedy, Fantasy, Sci-Fi",,0.0
A-1 Pictures,"Persona 3 the Movie 3: Falling Down, The iDOLM@STER Million Live! 1-shuunen Kinen PV, Senjou no Valkyria: SenVal Theater, Slow Start: Web Yokoku Movie, Demi-chan wa Kataritai, Kannagi: Moshimo Kannagi ga Attara..., Saenai Heroine no Sodatekata, The iDOLM@STER: 765 Pro to Iu Monogatari, The iDOLM@STER Million Live! 4-shuunen Kinen PV, Ryuugajou Nanana no Maizoukin: Nanana Nippon Mukashibanashi, Grancrest Senki, Kuroshitsuji, Denpa Kyoushi, Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria, Ao no Exorcist: Ura Ex, Persona 5 the Animation: The Day Breakers, Persona 3 the Movie 4: Winter of Rebirth, The iDOLM@STER Cinderella Girls 2-shuunen Kinen PV, Uchuu Kyoudai, Fairy Tail OVA, Omoi, Omoware, Furi, Furare, Magi: The Kingdom of Magic, Uta no☆Prince-sama♪ Maji Love Legend Star, Zettai Yareru Greece Shinwa, Wotaku ni Koi wa Muzukashii OVA, Kuroshitsuji Movie: Book of the Atlantic, Fairy Tail Movie 1: Houou no Miko, Persona 3 the Movie 2: Midsummer Knight's Dream, Sword Art Online Movie: Ordinal Scale, Gin no Saji 2nd Season, Kuroshitsuji Picture Drama, Tetsuwan Birdy Decode, Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter, Zenmai Zamurai, Aldnoah.Zero Extra Archives, Sword Art Online: Alicization - War of Underworld 2nd Season, Boku dake ga Inai Machi, Rara Maji, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, 86 Special Edition: Senya ni Akaku Hinageshi no Saku, Brotherhood: Final Fantasy XV, Gyakuten Saiban: Sono \"Shinjitsu\", Igi Ari!, Ookiku Furikabutte: Natsu no Taikai-hen, Nanatsu no Taizai: Imashime no Fukkatsu Joshou, Working!!! Lord of the Takanashi, Sakura Taisen: Kanadegumi, Boku wa Robot-goshi no Kimi ni Koi wo Suru, Ao no Exorcist Movie, The iDOLM@STER Shiny Festa, Eromanga-sensei, Saint☆Oniisan (Movie), Gin no Saji, Sword Art Online, Manga de Wakaru! Fate/Grand Order, Senkou no Night Raid: Aruku Hako, Blend S, Grancrest Senki: Tsuisou, Robby to Kerobby, Shounen Sunday CM: Yugami-kun ni wa Tomodachi ga Inai, Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo, Gakusen Toshi Asterisk, Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou, Uta no☆Prince-sama♪ Movie: Maji Love Kingdom, Doukyuusei (Movie), Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen, Working!!!, Uchuu Kyoudai: Number Zero, Baten Kaitos, Persona 4 the Golden Animation: Thank you Mr. Accomplice, Saenai Heroine no Sodatekata ♭, Tonari no 801-chan R, Fate/strange Fake: Whispers of Dawn, Fairy Tail: Final Series, Ookiku Furikabutte: Natsu no Scorebook, Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials, Final Fantasy VII: On the Way to a Smile - Episode: Denzel, Mahou Shoujo Lyrical Nanoha ViVid: Special Program, B-Project: Kodou*Ambitious, Persona 4 the Golden Animation, Ao no Exorcist: Kyoto Fujouou-hen, Demi-chan wa Kataritai: Demi-chan no Natsuyasumi, 86 Part 2 Recaps, Tetsuwan Birdy Decode:02, 22/7: 8＋3=?, Senjou no Valkyria, Uchuu Show e Youkoso, Tsuritama, Senyoku no Sigrdrifa, The iDOLM@STER Million Live! \"Dreaming!\" Animation PV, The iDOLM@STER Movie: Kagayaki no Mukougawa e!, Mashle: Mash Burnedead to Fushigi na Tegami, Working'!! Announcement Specials, Subete ga F ni Naru, Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2, The iDOLM@STER, Kuroshitsuji II, Shounen Sunday CM: Denpa Kyoushi, The iDOLM@STER Prologue SideM: Episode of Jupiter, Nanatsu no Taizai: Seisen no Shirushi, Working'!!, Fate/Apocrypha, Chousoku Henkei Gyrozetter, Seikimatsu Occult Gakuin, Cosmos Trailer, Sekai Seifuku: Bouryaku no Zvezda, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Hai to Gensou no Grimgar, Sword Art Online II, 22/7, Glass no Hana to Kowasu Sekai, Kokoro ga Sakebitagatterunda., Kuroshitsuji: Sono Shitsuji, Kougyou, Toki wa Meguru: Tokyo Station, So Ra No Wo To, Magi: The Labyrinth of Magic, Kuroshitsuji II Specials, NieR:Automata Ver1.1a, Ao no Exorcist: Kyoto Fujouou-hen OVA, Gakusen Toshi Asterisk 2nd Season, The iDOLM@STER SideM, The iDOLM@STER Cinderella Girls, Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours, Engage Kiss, Aldnoah.Zero, Nanatsu no Taizai OVA, Kuroshitsuji Recap, Occultic;Nine, Nanatsu no Taizai: Eiyuu-tachi wa Hashagu, Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai, The iDOLM@STER Cinderella Girls: Special Program, Nanatsu no Taizai, Visual Prison, Seikimatsu Occult Gakuin Specials, Eisen Flügel, He Wei Dao x Daojian Shenyu Alicization, Boku dake ga Inai Machi Recaps, Fate/strange Fake PV, Granblue Fantasy The Animation, Senjou no Valkyria Special, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami, The iDOLM@STER Cinderella Girls 2nd Season, Senkou no Night Raid, Uta no☆Prince-sama♪ Maji Love Revolutions, Fate/Grand Order, Tansa Quest!, 86, Fairy Tail OVA (2016), Atarashii Joushi wa Do Tennen, Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa, High School Fleet Movie, Kuroshitsuji: Book of Circus, Meiji x Kokosake & anohana Receipt Oubo Campaign, Eromanga-sensei OVA, Shigatsu wa Kimi no Uso: Moments, Sword Art Online: Alicization - War of Underworld, Magic Kaito 1412, Wotaku ni Koi wa Muzukashii, Ore no Imouto ga Konnani Kawaii Wake ga Nai., Senkou no Night Raid: Yogen, Fate/Apocrypha Recaps, Shelter (Music), Sword Art Online II: Debriefing, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie, Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito, Sword Art Online: Alicization - Recollection, The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!, Nanatsu no Taizai: Imashime no Fukkatsu, Senjou no Valkyria 3: Tagatame no Juusou, Sword Art Online: Extra Edition, Fairy Tail (2014), Senkou no Night Raid Specials, Ao no Exorcist: Kuro no Iede, 86 Part 2, Kagami no Kojou, Tetsuwan Birdy Decode: The Cipher, Qualidea Code, Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai, Vividred Operation, Kuroshitsuji: Book of Murder, Lycoris Recoil, Gunslinger Stratos The Animation: Kikan/Kaze no Yukue, Ookii 1 Nensei to Chiisana 2 Nensei, Ryuugajou Nanana no Maizoukin PV, Fairy Tail x Rave, Togainu no Chi, Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!, Galilei Donna, Gunslinger Stratos The Animation, Takane no Jitensha, Sword Art Online: Alicization - War of Underworld Recap, The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella., Mashle, Darling in the FranXX, Ore dake Level Up na Ken, Working!!, So Ra No Wo To Specials, Fractale, Servant x Service, Shinsekai yori, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Ryuugajou Nanana no Maizoukin, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA, WWW.Working!!, Hachigatsu no Cinderella Nine PV, Uchuu Kyoudai: Itten no Hikari, Sword Art Online: Alicization, Kaguya-sama wa Kokurasetai: Ultra Romantic, Hypnosis Mic: Division Rap Battle - Rhyme Anima +, Sword Art Online: Alicization - War of Underworld Reflection, Uta no☆Prince-sama♪ Maji Love ST☆RISH Tours: Tabi no Hajimari, Saint☆Oniisan, Granblue Fantasy The Animation: Kabocha no Lantern, Fairy Tail Movie 2: Dragon Cry, Kannagi, He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai, Kokoro ga Sakebitagatterunda. x Sony Hi-Res \"Walkman\" and Headphone, Mahou Shoujo Lyrical Nanoha ViVid, Ookiku Furikabutte: Kihon no Kihon, Hypnosis Mic: Division Rap Battle - Rhyme Anima, Aldnoah.Zero Part 2, Gate: Jieitai Kanochi nite, Kaku Tatakaeri, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., Ookiku Furikabutte, Shigatsu wa Kimi no Uso, Fairy Tail, Ao no Exorcist, Uta no☆Prince-sama♪ Maji Love 1000%, Ore no Kanojo to Osananajimi ga Shuraba Sugiru, Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas, Persona 3 the Movie Meets \"Walkman\", Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai, Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai, Persona: Trinity Soul, Uta no☆Prince-sama♪ Maji Love 2000%","Visual novel, Light novel, Manga, Other, Game, Music, Mixed media, Original, Unknown, Novel, Web manga, 4-koma manga","Action, Comedy, Sci-Fi, Action, Adventure, Action, Fantasy, Mystery, Action, Comedy, Romance, Comedy, Romance, Boys Love, Romance, Drama, Sports, Comedy, Drama, Romance, Ecchi, Action, Comedy, Supernatural, Adventure, Comedy, Mystery, Supernatural, Action, Fantasy, Supernatural, Drama, Romance, Action, Adventure, Drama, Fantasy, Action, Drama, Fantasy, Romance, Action, Comedy, Fantasy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense, Slice of Life, Comedy, Romance, Ecchi, Mystery, Sci-Fi, Action, Adventure, Fantasy, Romance, Action, Drama, Fantasy, Supernatural, Action, Sci-Fi, Action, Fantasy, Sci-Fi, Comedy, Drama, Romance, Action, Adventure, Fantasy, Adventure, Fantasy, Sci-Fi, Sports, Adventure, Drama, Mystery, Supernatural, Romance, Sci-Fi, Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi, Mystery, Supernatural, Suspense, Action, Romance, Adventure, Comedy, Romance, Action, Drama, Supernatural, Comedy, Comedy, Drama, Action, Adventure, Sci-Fi, Supernatural, Action, Drama, Romance, Sci-Fi, Adventure, Fantasy, Comedy, Slice of Life, Sci-Fi, Slice of Life, Action, Sci-Fi, Ecchi, Comedy, Drama, Mystery, UNKNOWN, Romance, Drama, Fantasy, Mystery, Comedy, Ecchi, Comedy, Sci-Fi, Adventure, Mystery, Sci-Fi, Supernatural, Adventure, Action, Boys Love, Sci-Fi, Suspense, Comedy, Sci-Fi, Slice of Life, Comedy, Fantasy, Supernatural, Comedy, Sports, Fantasy, Drama, Comedy, Mystery, Sci-Fi, Supernatural, Comedy, Supernatural, Comedy, Fantasy, Ecchi, Action, Comedy, Mystery, Supernatural, Action, Drama, Sci-Fi, Comedy, Fantasy, Sci-Fi",4.82,4.32
A-Line,"True Love Story, Tenchi Muyou! Ryououki 5th Season, Midori no Kuni no Otomodachi: Koeda-chan","Visual novel, Other, Original","Fantasy, Action, Comedy, Sci-Fi, Romance",,
A-Real,"Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to, Musashino!, Iya na Kao sare nagara Opantsu Misete Moraitai 2, Kenka Banchou Otome: Girl Beats Boys, Dekoboko Majo no Oyako Jijou, Urawa no Usagi-chan","Visual novel, Other, Original, 4-koma manga","Action, Comedy, Ecchi, Comedy, Fantasy",,
A.C.G.T.,"Shichinin no Nana: Oshougatsu da yo! 7 x 7 = 49-nin no Nana?, GR: Giant Robo, Koi Kaze, Freezing Specials, Dies Irae, Duel Masters, Shichinin no Nana, Dies Irae: To the Ring Reincarnation, Wangan Midnight, Orient: Awajishima Gekitou-hen, Dies Irae: Irasshai Zonnenji, Initial D Fourth Stage, Freezing Vibration Specials, Lime-iro Ryuukitan X, Initial D Extra Stage 2, Project BLUE Chikyuu SOS, Initial D Battle Stage 2, Shin Hokuto no Ken, Minami Kamakura Koukou Joshi Jitensha-bu, Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On., Kino no Tabi: The Beautiful World, Dear Boys, Dies Irae: Marie's Memory \"Michi ni Tsuuzu Kiseki\", Ningen Kousaten, Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance, Monochrome Factor, Freezing Vibration, Fuuun Ishin Dai☆Shogun, Freezing, Dies Irae: Reimei, Minami Kamakura Koukou Joshi Jitensha-bu: Kita yo, Taiwan!, Orient, Kimi ga Aruji de Shitsuji ga Ore de","Visual novel, Light novel, Manga, Other, Novel, Unknown, Original","Adventure, Comedy, Romance, Action, Comedy, Fantasy, Action, Action, Boys Love, Supernatural, Comedy, Action, Adventure, Slice of Life, Comedy, Romance, Ecchi, Drama, Slice of Life, Sports, Adventure, Comedy, Sci-Fi, Adventure, Comedy, Action, Comedy, Ecchi, Action, Sci-Fi, Drama, Sports, Action, Adventure, Fantasy, Sports, Action, Drama, Adventure, Fantasy, Suspense, Drama, Supernatural, Ecchi, Action, Drama, Romance, Sci-Fi, Ecchi, Drama, Romance, Adventure, Drama, Fantasy, Adventure, Sci-Fi",0.0,2.33
ACC Production,"Gun-dou Musashi, Scoopers, Guilstein, Gun-dou Musashi Recap, RGB Adventure Recaps, RGB Adventure, Omakase Scrappers","Manga, Original, Unknown","Adventure, Fantasy, Sci-Fi, Action, Horror, Sci-Fi, Adventure, Adventure, Comedy, Sci-Fi, Adventure, Fantasy, Action, Sci-Fi",,
ACiD FiLM,"Platonic Chain, Platonic Chain: Web, Platonic Chain: Ansatsu Jikkouchuu",Novel,"Sci-Fi, Slice of Life",,
AHA Entertainment,"Cike Wu Liuqi, Wu Liuqi: Anying Suming",Original,"Action, Comedy, Drama, Mystery, Romance, Action, Adventure, Comedy, Drama, Mystery",,
AIC,"Silent Möbius 2, Ecchies, Ten Little Gall Force, Mayoi Neko Overrun! Specials, Yakimochi Caprice, Seitokai no Ichizon Lv.2, Armitage III: Poly-Matrix, Lodoss-tou Senki: Eiyuu Kishi Den, Dual! Parallel Lun-Lun Monogatari, Amagami SS+ Plus: Extra Episode+ Plus, Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film, Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure, Yunyun☆Paradise, Battle Athletess Daiundoukai, Magical Twilight, Candy☆Boy: Side Story For Archive, Dragon's Heaven, Asu no Yoichi!, Iczer-Girl Iczelion, El Hazard 2: The Magnificent World, Candy Boy Episode: EX01 - Mirai Yohouzu, Kachou Ouji, Mahou Yuugi 3D, El Hazard: The Magnificent World, Tenchi Muyou! Ryououki 3rd Season, AD Police, Maryuu Senki, Haja Kyosei G Dangaiou, Tenchi Muyou!, Sakura Taisen: New York, Genei wo Kakeru Taiyou, Amagami SS+ Plus, Katte ni Shirokuma, Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!, Haja Taisei Dangaiou, R-15, Katayoku no Khronos Gear, Burn Up! W, Tenchi Muyou! Ryououki 4th Season, Be-Boy Kidnapp'n Idol, Shin Ougon Bat, Parasite Dolls, Fujimi 2-choume Koukyougakudan, Tatakae!! Iczer-1, Bouken! Iczer 3, Tenchi Muyou! Ryououki, Dragon Pink, Koroshiya 1 The Animation: Episode 0, Gall Force 1: Eternal Story, Wanna-Be's, Bubblegum Crisis, Aa! Megami-sama! Tatakau Tsubasa, Burn Up!, Lemon Angel (1988), Sousei Kishi Gaiarth, Shukufuku no Campanella: La Campanella Della Benedizione, Aa! Megami-sama! Sorezore no Tsubasa, Riding Bean, Nageki no Kenkou Yuuryouji, Cream Lemon: Lemon Angel, Gall Force: Chikyuu Shou, Shin Tenchi Muyou! Specials, Tenchi Muyou! Ryououki: Heianmuyo! Picture Drama, Zoku Gosenzo San'e, Metal Skin Panic MADOX-01, Mahou no Shiho-chan, Seto no Hanayome OVA, Outlanders, Dual! Parallel Runrun Monogatari Special, Mahou Shoujo Pretty Sammy Specials, Seishoujo Kantai Virgin Fleet, Megazone 23, Tenchi Muyou! in Love, Trouble Evocation, Justeen, Aa! Megami-sama! (TV), Strike Witches Movie, Uchuu Senkan Yamato 2199: Tsuioku no Koukai, Pants no Ana: Mambo de Ganbo!, Elf no Wakaokusama, Daimajuu Gekitou: Hagane no Oni, Gall Force 2: Destruction, Legend of Lemnear: Kyokuguro no Tsubasa Valkisas, Spaceship Agga Ruter, Photon, Oni-Tensei, Ima, Soko ni Iru Boku, Kyuuketsuhime Miyu (TV), Matou Kitan Zankan!, Moldiver Ex, Amagami SS OVA, Battle Programmer Shirase, Tenchi Muyou! Ryououki 5th Season, Seitokai no Ichizon Lv.2: Watasu Seitokai, Gall Force: The Revolution, El Hazard: The Alternative World, Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?, Cream Lemon, Explorer Woman Ray, Ryokunohara Meikyuu, Uchuu Senkan Yamato 2199, Gall Force 3: Stardust War, Rhea Gall Force, Mahoutsukai Nara Miso wo Kue!, Acchi Kocchi: Place=Princess, Macross II: Lovers Again, Mahou Shoujo Pretty Sammy (1996), Kujakuou, El Hazard: The Wanderers, Puchi Pri*Yucie, Cosmos Pink Shock, G-Taste, Moldiver, Tenchi Muyou! in Love 2: Harukanaru Omoi, Project Zeorymer, Parade Parade, Shukufuku no Campanella Specials, Amagami SS: Tachibana Miya-hen - Imouto, Aa! Megami-sama! Movie, Aa! Megami-sama! Sorezore no Tsubasa Specials, Yarima Queen, Yuuwaku Countdown, Mahou Yuugi 2D, Amagami SS+ Plus Picture Drama, Detonator Orgun, Tenchi Muyou! Manatsu no Eve, Aa! Megami-sama! (2011), Shin Tenchi Muyou!, Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron, Tenchi Muyou! Ryououki 2nd Season Picture Drama, Gattai Robot Atranger, Kussetsu, Acchi Kocchi, Solty Rei, Tenchi Muyou! GXP, Nyan Koi!, Ningyou no Yakata, Seto no Hanayome, Kyoukasho ni Nai!, Mayoi Neko Overrun!, Green Legend Ran, Ai City, Night Walker: Mayonaka no Tantei, Ai no Kusabi (2012), Aa! Megami-sama! (TV) Specials, Tenchi Muyou! GXP: Paradise Shidou-hen, Ninja Mono, Amagami SS, Trouble Chocolate, Pumpkin Scissors, Mikeneko Holmes no Yuurei Joushu, Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life, Battle Athletess Daiundoukai (TV), Gakuen Tokusou Hikaruon, Sasameki Koto, Sol Bianca: Taiyou no Fune, The Epic Of ZektBach, Blue Gender, Armitage III, Kishin Heidan, Shukufuku no Campanella, Ai no Kusabi, Bastard!! Ankoku no Hakaishin, Sol Bianca, Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de., Mahou Shoujo Pretty Sammy, Lemon Angel (1988/II), Tenchi Muyou! Ryououki 2nd Season, Gosenzo San'e, Call Me Tonight, Kyuuketsuhime Miyu, Aa! Megami-sama!, Armitage III: Dual-Matrix, Seijuuki Cyguard, Majuu Senshi Luna Varga, Neko Neko Fantasia, Blue Gender: The Warrior, Guy: Youma Kakusei, Silent Möbius: The Motion Picture, Koukou Tekken-den Tough, Tattoon Master, R-15: R15 Shounen Hyouryuuki, Bubblegum Crisis Tokyo 2040, Special A, Toushin Toshi II, Ookamikakushi, The Hakkenden: Shin Shou, Black Magic M-66, Hurricane Live! 2032, Gall Force: New Era, Genei wo Kakeru Taiyou: Fumikomenai Kokoro","Visual novel, Light novel, Manga, Other, Game, Music, Original, Unknown, Novel, Radio, 4-koma manga","Action, Comedy, Sci-Fi, Fantasy, Sci-Fi, Adventure, Drama, Fantasy, Sci-Fi, Action, Adventure, Comedy, Drama, Romance, Sci-Fi, Ecchi, Action, Adventure, Action, Adventure, Comedy, Fantasy, Ecchi, Adventure, Drama, Sci-Fi, Ecchi, Comedy, Fantasy, Hentai, Comedy, Sci-Fi, Ecchi, Comedy, Romance, Boys Love, Drama, Sci-Fi, Erotica, Adventure, Comedy, Romance, Ecchi, Action, Horror, Mystery, Avant Garde, Boys Love, Drama, Romance, Action, Comedy, Sci-Fi, Ecchi, Action, Adventure, Comedy, Fantasy, Supernatural, Hentai, Action, Fantasy, Supernatural, Comedy, Mystery, Supernatural, Hentai, Boys Love, Drama, Romance, Slice of Life, Erotica, Comedy, Girls Love, Romance, Adventure, Comedy, Sci-Fi, Ecchi, Adventure, Drama, Horror, Romance, Sci-Fi, Slice of Life, Action, Horror, Mystery, Supernatural, Comedy, Romance, Ecchi, Action, Mystery, Romance, Sci-Fi, Comedy, Fantasy, Sci-Fi, Hentai, Adventure, Comedy, Sci-Fi, Girls Love, Slice of Life, Horror, Sci-Fi, Action, Comedy, Fantasy, Horror, Romance, Supernatural, Hentai, Action, Adventure, Fantasy, Sci-Fi, Action, Sci-Fi, Action, Adventure, Horror, Mystery, Sci-Fi, Suspense, Comedy, Romance, Sci-Fi, Comedy, Horror, Romance, Sci-Fi, Adventure, Fantasy, Sci-Fi, Action, Adventure, Fantasy, Action, Comedy, Sports, Action, Horror, Fantasy, Horror, Action, Comedy, Mystery, Sci-Fi, Action, Avant Garde, Drama, Horror, Sci-Fi, Supernatural, Action, Comedy, Romance, Sci-Fi, Adventure, Sci-Fi, Supernatural, Comedy, Girls Love, Hentai, Action, Comedy, Drama, Romance, Sci-Fi, Adventure, Sci-Fi, Sports, Action, Adventure, Sci-Fi, Adventure, Comedy, Fantasy, Comedy, Adventure, Comedy, Sci-Fi, Slice of Life, Comedy, Drama, Boys Love, Drama, Action, Comedy, Drama, Adventure, Fantasy, Drama, Hentai, Action, Adventure, Romance, Sci-Fi, Action, Sci-Fi, Ecchi, Comedy, Drama, Mystery, Comedy, Romance, Hentai, UNKNOWN, Romance, Comedy, Sci-Fi, Hentai, Comedy, Romance, Supernatural, Fantasy, Hentai, Girls Love, Romance, Comedy, Ecchi, Comedy, Sci-Fi, Adventure, Fantasy, Romance, Hentai, Action, Sci-Fi, Hentai, Horror, Supernatural, Hentai, Adventure, Comedy, Fantasy, Ecchi, Action, Adventure, Drama, Fantasy, Romance, Action, Drama, Horror, Comedy, Sci-Fi, Sports, Ecchi, Comedy, Romance, Slice of Life, Girls Love, Hentai, Fantasy, Adventure, Comedy, Fantasy, Romance, Adventure, Comedy, Supernatural, Drama, Romance, Sci-Fi, Hentai, Adventure, Comedy, Slice of Life, Supernatural, Comedy, Fantasy, Ecchi, Action, Drama, Sci-Fi, Action, Romance, Sci-Fi, Comedy, Fantasy, Adventure, Sci-Fi",3.83,2.6
