studio,animes,sources,genres,male_score,female_score
Maro Studio,"Shining Star: Saeroun Luna-Queen-ui Tansaeng!, Shining Star",Original,"Fantasy, UNKNOWN",,
Marone,Hori-san to Miyamura-kun,Web manga,Romance,,
Marui Group,Oi-san to 40 no Monogatari,Original,Slice of Life,,
Marvy Jack,"Ookami to Koushinryou II, Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu, Onmyouji, Nanatsu no Taizai: Ensa no Edinburgh, Ookami to Koushinryou II: Holo no Short Anime, Koi-ken!: Watashitachi Anime ni Nacchatta!","Light novel, Manga, Novel","Action, Adventure, Fantasy, Supernatural, Fantasy, Adventure, Fantasy, Romance, Supernatural, Ecchi",,
Marza Animation Planet,"Captain Herlock, Lupin III: The First, Happy Forest, Lupin III 3DCG, Monster Strike The Animation Episode 0, The Gift, Xpice, Sonic: Night of the WereHog, Koneko no Chi: Ponponra Dairyokou, Ninjala Episode 0, Biohazard: Vendetta, Koneko no Chi: Ponponra Daibouken, The Peak","Manga, Game, Original","Action, Horror, Sci-Fi, Action, Fantasy, Fantasy, Slice of Life, Action, Suspense, Action, Adventure, Comedy, Mystery, Slice of Life, Action, Fantasy, Action, Drama, Sci-Fi, Sci-Fi",,
Maxilla,"Wanted, Wasted, Storywriter (2022), Aiue, Kaze wa Fuiteru ka?, Let's End the World","Manga, Mixed media, Original",UNKNOWN,,
Melissa,"After... The Animation, Tony's Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection, Mitama: Nin","Visual novel, Original",Hentai,,
Meltdown,"Genzai Byoto, Hiiro no Koku, My Life As, Kodomo no Jikan, Seishou Jogangu Alice Doll, Doura, Spiral Over, Ayatsuri Ningyou","Visual novel, Manga","Hentai, Comedy, Hentai",,
Meruhensha,"Oyayubi Hime Monogatari, Slippy Dandy, Heart Cocktail, Poppen-sensei to Kaerazu no Numa","Book, Unknown","Action, Mystery, Romance, Adventure, Fantasy",,
Mikimoto Production,Mugen no Kyoukai,Visual novel,"Fantasy, Supernatural, Hentai",,
Mili Pictures,"Xue Ying Ling Zhu Zhi Qi Yu Pian, Xue Ying Ling Zhu, Shen Qi Huan Qi Tan, Xue Ying Ling Zhu 3rd Season, Xue Ying Ling Zhu 2nd Season, Ni Zhenshi Ge Tiancai, Long Zhi Gu: Poxiao Qibing, Long Zhi Gu: Jingling Wangzuo","Web novel, Manga, Game, Novel","Action, Adventure, Fantasy, Action, Adventure, Fantasy, Romance, Comedy, Fantasy, Action, Adventure, Fantasy, Mystery, Supernatural",,
Milky Cartoon,"Gregory Horror Show: The Last Train, Gregory Horror Show: The Second Guest, Sengoku☆Paradise Kiwami, The Gregory Gallery Tour Special, Gregory Horror Show, Gregory Horror Show: The Bloody Karte, ColoColo Animal ABC@Kin Tele, ColoColo Animal Otogibanashi","Original, Unknown","Action, Comedy, Drama, Romance, Comedy, Comedy, Horror, Mystery, Supernatural",,
